,Items,Antecedent,Consequent,Support,Confidence,Lift
955,"{'Not Discussed', 'Disaster Damage Assessment', 'supervised', 'image', 'CNN'}","{'Not Discussed', 'Disaster Damage Assessment', 'image', 'CNN'}",{'supervised'},0.1566265060240964,0.9285714285714287,0.9880952380952382
171,"{'supervised', 'Twitter'}",{'Twitter'},{'supervised'},0.4457831325301205,0.9249999999999999,0.9842948717948717
414,"{'supervised', 'precision, recall, f1-score', 'CNN'}","{'precision, recall, f1-score', 'CNN'}",{'supervised'},0.14457831325301204,0.923076923076923,0.9822485207100591
96,"{'Disaster Damage Assessment', 'supervised'}",{'Disaster Damage Assessment'},{'supervised'},0.2891566265060241,0.923076923076923,0.9822485207100591
491,"{'Not Discussed', 'supervised', 'Disaster Related Information Filtering'}","{'Not Discussed', 'Disaster Related Information Filtering'}",{'supervised'},0.14457831325301204,0.923076923076923,0.9822485207100591
311,"{'Not Discussed', 'image', 'CNN'}","{'Not Discussed', 'image'}",{'CNN'},0.2891566265060241,0.923076923076923,1.3209549071618036
554,"{'Not Discussed', 'supervised', 'image'}","{'Not Discussed', 'image'}",{'supervised'},0.2891566265060241,0.923076923076923,0.9822485207100591
568,"{'Not Discussed', 'supervised', 'precision, recall, f1-score'}","{'Not Discussed', 'precision, recall, f1-score'}",{'supervised'},0.14457831325301204,0.923076923076923,0.9822485207100591
561,"{'Not Discussed', 'multimodal', 'supervised'}","{'Not Discussed', 'multimodal'}",{'supervised'},0.14457831325301204,0.923076923076923,0.9822485207100591
84,"{'supervised', 'CrisisMMD'}",{'CrisisMMD'},{'supervised'},0.13253012048192772,0.9166666666666667,0.9754273504273505
435,"{'supervised', 'Twitter', 'CrisisMMD'}","{'Twitter', 'CrisisMMD'}",{'supervised'},0.13253012048192772,0.9166666666666667,0.9754273504273505
432,"{'supervised', 'Twitter', 'CrisisMMD'}",{'CrisisMMD'},"{'supervised', 'Twitter'}",0.13253012048192772,0.9166666666666667,2.0563063063063067
477,"{'supervised', 'Disaster Related Information Classification', 'Twitter'}","{'Disaster Related Information Classification', 'Twitter'}",{'supervised'},0.13253012048192772,0.9166666666666667,0.9754273504273505
147,"{'Not Discussed', 'supervised'}",{'Not Discussed'},{'supervised'},0.6626506024096386,0.9166666666666667,0.9754273504273505
470,"{'Not Discussed', 'supervised', 'Disaster Related Information Classification'}","{'Not Discussed', 'Disaster Related Information Classification'}",{'supervised'},0.12048192771084337,0.9090909090909091,0.9673659673659672
199,"{'supervised', 'text'}",{'text'},{'supervised'},0.24096385542168675,0.9090909090909091,0.9673659673659672
133,"{'Not Discussed', 'Web database'}",{'Web database'},{'Not Discussed'},0.12048192771084337,0.9090909090909091,1.2575757575757576
180,"{'Web database', 'supervised'}",{'Web database'},{'supervised'},0.12048192771084337,0.9090909090909091,0.9673659673659672
603,"{'supervised', 'precision, recall, f1-score', 'Twitter'}","{'precision, recall, f1-score', 'Twitter'}",{'supervised'},0.12048192771084337,0.9090909090909091,0.9673659673659672
422,"{'supervised', 'text', 'CNN'}","{'text', 'CNN'}",{'supervised'},0.10843373493975904,0.9,0.9576923076923077
917,"{'Not Discussed', 'supervised', '-', 'image', 'CNN'}","{'Not Discussed', '-', 'image'}","{'supervised', 'CNN'}",0.10843373493975904,0.9,1.3339285714285716
289,"{'Not Discussed', 'Remote_sensing', 'CNN'}","{'Remote_sensing', 'CNN'}",{'Not Discussed'},0.10843373493975904,0.9,1.245
366,"{'Twitter', 'text', 'CNN'}","{'text', 'CNN'}",{'Twitter'},0.10843373493975904,0.9,1.8675000000000002
267,"{'Disaster Related Information Classification', 'Twitter', 'CNN'}","{'Disaster Related Information Classification', 'CNN'}",{'Twitter'},0.10843373493975904,0.9,1.8675000000000002
160,"{'Twitter API', 'Twitter'}",{'Twitter API'},{'Twitter'},0.10843373493975904,0.9,1.8675000000000002
542,"{'Not Discussed', 'supervised', 'Web database'}","{'Web database', 'supervised'}",{'Not Discussed'},0.10843373493975904,0.9,1.245
730,"{'supervised', 'Disaster Related Information Classification', 'Twitter', 'CNN'}","{'supervised', 'Disaster Related Information Classification', 'CNN'}",{'Twitter'},0.10843373493975904,0.9,1.8675000000000002
381,"{'Web database', 'supervised', 'CNN'}","{'Web database', 'supervised'}",{'CNN'},0.10843373493975904,0.9,1.2879310344827586
723,"{'supervised', 'Disaster Related Information Classification', 'Twitter', 'CNN'}","{'Disaster Related Information Classification', 'CNN'}","{'supervised', 'Twitter'}",0.10843373493975904,0.9,2.018918918918919
927,"{'Not Discussed', 'supervised', '-', 'image', 'CNN'}","{'Not Discussed', 'supervised', '-', 'image'}",{'CNN'},0.10843373493975904,0.9,1.2879310344827586
798,"{'Remote_sensing', 'supervised', 'image', 'CNN'}","{'Remote_sensing', 'CNN'}","{'supervised', 'image'}",0.10843373493975904,0.9,2.1342857142857143
463,"{'Disaster Damage Assessment', 'supervised', 'image'}","{'Disaster Damage Assessment', 'image'}",{'supervised'},0.21686746987951808,0.9,0.9576923076923077
290,"{'Not Discussed', 'Remote_sensing', 'CNN'}","{'Not Discussed', 'Remote_sensing'}",{'CNN'},0.10843373493975904,0.9,1.2879310344827586
739,"{'Not Discussed', 'Remote_sensing', 'image', 'CNN'}","{'Remote_sensing', 'CNN'}","{'Not Discussed', 'image'}",0.10843373493975904,0.9,2.873076923076923
